#{"t_start": 1611321499.4353979, "env_id": "Reacher-v2"}
r,l,t
-24.794034,50,98.113785
-25.824738,50,98.167271
-32.891978,50,98.221003
-26.06913,50,98.275254
-24.89023,50,98.328493
-30.097152,50,98.381651
-28.542398,50,99.958578
-27.063132,50,100.013035
-22.049503,50,100.06707
-28.844487,50,100.12046
-26.346543,50,100.173839
-28.700851,50,100.227862
-28.605415,50,100.28178
-28.497371,50,100.33523
-30.782714,50,100.388633
-22.588467,50,100.442128
-23.293283,50,100.495863
-28.116852,50,100.549467
-32.071439,50,100.604948
-29.982338,50,100.658998
-31.22399,50,100.711989
-27.067769,50,100.76542
-18.591803,50,100.818471
-20.516246,50,100.871901
-30.234565,50,100.925037
-27.719961,50,100.979163
-31.593872,50,101.032727
-18.692723,50,101.087685
-26.189318,50,101.141255
-17.341629,50,101.194981
-24.28954,50,101.249019
-26.870467,50,101.302819
-19.648785,50,101.356426
-24.240627,50,101.410278
-22.878263,50,101.464736
-30.211206,50,101.519031
-22.026526,50,101.572875
-19.133485,50,101.626272
-25.504791,50,101.680127
-28.815744,50,101.73333
-23.434595,50,101.786634
-26.109472,50,101.840303
-25.158376,50,101.893568
-29.435179,50,101.947317
-25.862455,50,102.002489
-25.981762,50,102.056647
-22.526342,50,102.110681
-23.741864,50,103.680206
-29.438426,50,103.733708
-20.578105,50,103.787377
-25.262563,50,103.841051
-24.339246,50,103.894235
-22.728644,50,103.948153
-20.953747,50,104.003119
-21.107015,50,104.057193
-19.880004,50,104.111449
-24.978313,50,104.165056
-24.914225,50,104.219097
-25.343493,50,104.273453
-25.566409,50,104.327328
-17.878046,50,104.381021
-19.727597,50,104.43519
-25.377187,50,104.488847
-14.97918,50,104.542718
-19.620085,50,104.596708
-22.056849,50,104.65088
-18.989297,50,104.704317
-24.561083,50,104.75825
-22.39065,50,104.812256
-21.676266,50,104.866529
-24.99421,50,104.919879
-28.783758,50,104.973391
-24.236217,50,105.028503
-24.163684,50,105.082319
-24.248097,50,105.136373
-30.83456,50,105.189994
-20.715384,50,105.24384
-26.778311,50,105.297233
-23.925909,50,105.350885
-24.708104,50,105.404296
-27.132238,50,105.458709
-15.127307,50,105.51258
-25.905251,50,105.565995
-33.556224,50,105.619868
-24.293779,50,105.673992
-30.120517,50,105.727675
-24.880814,50,105.781329
-24.859697,50,105.83491
-19.868738,50,107.408622
-20.901658,50,107.463255
-16.423317,50,107.517241
-22.063253,50,107.571615
-21.432606,50,107.625502
-22.989926,50,107.679511
-20.520977,50,107.73304
-22.944877,50,107.78682
-20.337972,50,107.840971
-32.781594,50,107.89471
-19.654921,50,107.948352
-21.670747,50,108.002239
-16.836446,50,108.057264
-18.848947,50,108.110994
-17.700224,50,108.164826
-19.191957,50,108.218335
-22.407597,50,108.27303
-20.303511,50,108.326948
-29.544559,50,108.380475
-29.443944,50,108.434535
-28.278721,50,108.489534
-23.808775,50,108.543463
-22.670979,50,108.597413
-28.357161,50,108.651974
-22.532799,50,108.705564
-18.407208,50,108.758816
-26.414642,50,108.812553
-19.840554,50,108.866324
-18.899929,50,108.919477
-22.541045,50,108.973842
-26.288675,50,109.028535
-19.00773,50,109.082926
-25.428536,50,109.137332
-21.670718,50,109.190812
